step,time,phase_name,simulation_time
0,0.005,Standing,19.98
1,0.01,Standing,19.96
2,0.015,Standing,19.94
3,0.02,Standing,19.92
4,0.025,Standing,19.9
5,0.030000000000000002,Standing,19.88
6,0.035,Standing,19.86
7,0.04,Standing,19.84
8,0.045,Standing,19.82
9,0.049999999999999996,Standing,19.8
10,0.05499999999999999,Standing,19.78
11,0.05999999999999999,Standing,19.759999999999998
12,0.06499999999999999,Standing,19.74
13,0.06999999999999999,Standing,19.72
14,0.075,Standing,19.7
15,0.08,Standing,19.68
16,0.085,Standing,19.66
17,0.09000000000000001,Standing,19.64
18,0.09500000000000001,Standing,19.62
19,0.10000000000000002,Standing,19.6
20,0.10500000000000002,Standing,19.58
21,0.11000000000000003,Standing,19.56
22,0.11500000000000003,Standing,19.54
23,0.12000000000000004,Standing,19.52
24,0.12500000000000003,Standing,19.5
25,0.13000000000000003,Standing,19.48
26,0.13500000000000004,Standing,19.46
27,0.14000000000000004,Standing,19.439999999999998
28,0.14500000000000005,Standing,19.419999999999998
29,0.15000000000000005,Standing,19.4
30,0.15500000000000005,Standing,19.38
31,0.16000000000000006,Standing,19.36
32,0.16500000000000006,Standing,19.34
33,0.17000000000000007,Standing,19.32
34,0.17500000000000007,Standing,19.3
35,0.18000000000000008,Standing,19.28
36,0.18500000000000008,Standing,19.259999999999998
37,0.19000000000000009,Standing,19.24
38,0.1950000000000001,Standing,19.22
39,0.2000000000000001,Standing,19.2
40,0.2050000000000001,Standing,19.18
41,0.2100000000000001,Standing,19.16
42,0.2150000000000001,Standing,19.14
43,0.2200000000000001,Standing,19.119999999999997
44,0.22500000000000012,Standing,19.099999999999998
45,0.23000000000000012,Standing,19.08
46,0.23500000000000013,Standing,19.06
47,0.24000000000000013,Standing,19.04
48,0.24500000000000013,Standing,19.02
49,0.2500000000000001,Standing,19.0
50,0.2550000000000001,Standing,18.98
51,0.2600000000000001,Standing,18.96
52,0.2650000000000001,Standing,18.939999999999998
53,0.27000000000000013,Standing,18.919999999999998
54,0.27500000000000013,Standing,18.9
55,0.28000000000000014,Standing,18.88
56,0.28500000000000014,Standing,18.86
57,0.29000000000000015,Standing,18.84
58,0.29500000000000015,Standing,18.82
59,0.30000000000000016,Standing,18.799999999999997
60,0.30500000000000016,Standing,18.78
61,0.31000000000000016,Standing,18.759999999999998
62,0.31500000000000017,Standing,18.740000000000002
63,0.3200000000000002,Standing,18.72
64,0.3250000000000002,Standing,18.700000000000003
65,0.3300000000000002,Standing,18.68
66,0.3350000000000002,Standing,18.66
67,0.3400000000000002,Standing,18.64
68,0.3450000000000002,Standing,18.62
69,0.3500000000000002,Standing,18.599999999999998
70,0.3550000000000002,Standing,18.580000000000002
71,0.3600000000000002,Standing,18.560000000000002
72,0.3650000000000002,Standing,18.54
73,0.3700000000000002,Standing,18.52
74,0.3750000000000002,Standing,18.5
75,0.3800000000000002,Standing,18.48
76,0.38500000000000023,Standing,18.46
77,0.39000000000000024,Standing,18.44
78,0.39500000000000024,Standing,18.42
79,0.40000000000000024,Standing,18.400000000000002
80,0.40500000000000025,Standing,18.380000000000003
81,0.41000000000000025,Standing,18.36
82,0.41500000000000026,Standing,18.34
83,0.42000000000000026,Standing,18.32
84,0.42500000000000027,Standing,18.3
85,0.43000000000000027,Standing,18.28
86,0.4350000000000003,Standing,18.26
87,0.4400000000000003,Standing,18.240000000000002
