index,name,value
0,pelvis_tx,0.0
1,pelvis_ty,0.95
2,pelvis_tilt,0.0
3,hip_flexion_r,0.0
4,knee_r_translation1,-0.003639
5,knee_r_translation2,-0.3957
6,knee_angle_r,0.0
7,ankle_angle_r,0.0
8,rect_fem_r_rect_fem_r-P3_x,0.06259
9,rect_fem_r_rect_fem_r-P3_y,0.02032
10,vasti_r_vas_int_r-P4_x,0.05647
11,vasti_r_vas_int_r-P4_y,0.02476
12,vasti_r_vas_int_r-P3_y,-0.2234
13,vasti_r_vas_int_r-P3_z,0.02673
14,gastroc_r_med_gas_r-P2_x,-0.02915
15,gastroc_r_med_gas_r-P2_y,-0.4015
16,gastroc_r_med_gas_r-P2_z,-0.02562
17,hip_flexion_l,0.0
18,knee_l_translation1,-0.003639
19,knee_l_translation2,-0.3957
20,knee_angle_l,0.0
21,ankle_angle_l,0.0
22,rect_fem_l_rect_fem_l-P3_x,0.06259
23,rect_fem_l_rect_fem_l-P3_y,0.02032
24,vasti_l_vas_int_l-P4_x,0.05647
25,vasti_l_vas_int_l-P4_y,0.02476
26,vasti_l_vas_int_l-P3_y,-0.2234
27,vasti_l_vas_int_l-P3_z,-0.02673
28,gastroc_l_med_gas_l-P2_x,-0.02915
29,gastroc_l_med_gas_l-P2_y,-0.4015
30,gastroc_l_med_gas_l-P2_z,0.02562
31,lumbar_extension,0.0
32,iliopsoas_r_psoas_r-P3_x,-0.0288
33,iliopsoas_r_psoas_r-P3_y,-0.0805
34,iliopsoas_r_psoas_r-P3_z,0.0816
35,iliopsoas_l_psoas_l-P3_x,-0.0288
36,iliopsoas_l_psoas_l-P3_y,-0.0805
37,iliopsoas_l_psoas_l-P3_z,-0.0816
